5,95
7,94
9,92
11,91
13,89
15,88
17,86
18,84
20,83
22,81
24,79
26,78
27,75
27,73
27,70
28,68
28,66
28,63
28,61
28,58
28,56
28,53
28,51
28,48
28,46
28,43
28,41
28,38
28,36
28,33
28,31
28,28
28,26
28,23
28,21
28,18
28,16
28,13
28,11
29,8
31,7
34,7
36,7
39,7
41,8
43,10
44,12
46,13
48,14
50,16
51,19
51,21
51,24
51,26
52,29
51,31
51,34
51,36
51,38
51,41
50,43
49,46
48,48
47,50
47,53
45,55
44,57
44,60
45,62
46,65
46,67
46,70
46,72
46,75
46,77
46,80
46,82
46,85
45,87
46,90
47,91
49,91
52,91
54,91
57,91
59,91
62,91
64,91
67,91
69,91
72,91
74,91
77,91
79,91
82,91
84,91
87,91
89,91
91,90
93,88
92,85
90,84
88,83
86,83
83,82
81,81
79,80
76,79
74,78
72,77
70,75
70,72
72,70
73,68
74,66
76,64
78,62
80,61
81,59
81,56
80,54
77,53
75,52
73,51
71,49
70,47
70,45
70,43
71,40
71,38
70,36
68,34
68,32
69,30
71,29
74,28
76,27
78,26
80,25
83,23
85,22
87,21
89,19
90,17
92,16
94,14
95,11
95.6258822694116,9.057416038373
